round,old_loss,beta,direction_gain,interaction,step,expected_loss,status
94,14381187.022648524,0.004711274249879241,888177.6275825712,2222507.0722787553,0.19981435349762808,14292451.70342529,ok
95,14289905.329221891,0.017447491709123197,327859.7021211429,137841.67920050395,1.000000000458516,14099887.306277327,ok
96,14098832.881788036,0.005253964688084627,1373737.5448282398,8068218.91881373,0.08513263947417905,14040357.930220034,ok
97,14036328.065042889,0.014812670310146388,455616.01952605875,779015.9741300996,0.2924304729661221,13969710.061002415,ok
98,13971722.394548897,0.009487164752767521,588182.9365142351,2466929.6608406287,0.11921356045348419,13936662.703518972,ok
99,13934732.845755037,0.017395460632561238,307232.87667913723,109045.62142145101,1.0000000000056442,13736545.590496847,ok
100,13738455.740589492,0.0052363152282787736,1023289.4653177329,4607227.129706884,0.11105263931092925,13681636.242638191,ok
101,13682735.05592262,0.015839973982477783,389611.23134989943,714162.7219589022,0.2727748308405268,13629596.9870601,ok
102,13621112.530363714,0.013910060848040985,376546.9038719987,510283.11886372016,0.36895880928853736,13551647.381716765,ok
103,13549956.521669932,0.011795679871287776,623674.837314341,4086668.6841715327,0.07630601909691818,13526161.449646743,ok
104,13518740.930085119,0.01987994032305452,287887.631759465,86041.85774175932,1.0000000000047238,13316895.156066867,ok
105,13308958.826430462,0.011969615411938563,557924.6235198244,986848.3163077153,0.2826800301019384,13230101.751744863,ok
106,13234207.667360676,0.011587639188057202,423785.0814071245,1925626.887235742,0.110038212546843,13210891.390929649,ok
107,13207726.137299342,0.01834833776305643,348578.6319077101,1109559.6329531553,0.15707971953699706,13180348.820431015,ok
108,13178178.719036616,0.014331192407814261,341436.3194574534,928665.701176164,0.18383166247284735,13146795.31591938,ok
109,13142904.384630743,0.020237223567900198,309538.7752234015,362268.2781360577,0.4272231297976737,13076783.322458403,ok
110,13073206.683405433,0.006103197675288611,569668.59071482,1482601.003797206,0.1921179701267559,13018484.896758882,ok
111,13018410.528800698,0.0212395578270891,247100.46712390822,17702.12332567136,1.0000000000004583,12789012.185002364,ok
112,12789762.09578517,0.01333793250554304,348597.6757282921,706615.9741986651,0.24666699342851528,12746768.325491138,ok
113,12748141.472390778,0.012104740571835613,552134.7200877494,5031522.631479303,0.054867558046282495,12732994.330488887,ok
114,12730622.118029734,0.02141040337365274,253320.1416623689,20600.32125669535,1.0000000000064933,12497902.297622684,ok
115,12493451.985688739,0.020058925569470216,352953.83290522697,607350.0280246394,0.2905687137721743,12442173.315064622,ok
116,12449324.685102448,0.010776762385534211,557401.1730116695,2893785.511142844,0.09631003591408799,12422483.021606794,ok
117,12418687.327842504,0.01882117048246603,279351.3470295097,198667.8172991265,0.7030613987390346,12320486.753451403,ok
118,12321307.162385298,0.007687826649093284,1034134.2395859931,6703276.188492319,0.07713647852980586,12281422.425600918,ok
119,12281960.31596087,0.017966655414263864,354973.90270956093,1063017.5494495814,0.16696521280074936,12252326.16935856,ok
120,12244149.526067633,0.01951962269602214,289440.62757601775,781674.6017848188,0.1851413791078347,12217355.807588004,ok
121,12215766.185161818,0.015266372076223599,354165.60670670425,1455347.1979130902,0.12167735891976965,12194219.217339674,ok
122,12194003.393816609,0.02001318117214372,284056.3526338254,797702.6891204313,0.1780465056141616,12168715.77332463,ok
123,12164022.488141533,0.016567360555220418,324860.49223541655,1064723.2699351506,0.15255630331776393,12139242.73024682,ok
124,12128123.34205597,0.023004766866480363,236768.0736390194,67375.18861462252,1.0000000002593135,11958730.457005119,ok
125,11957692.723213874,0.006658283122952857,986208.6915799852,7256325.1765180575,0.06795510589653707,11924183.76517767,ok
126,11922881.020605719,0.020787709491361064,248256.32650263666,95067.84332506961,1.0000000002445941,11769692.537413936,ok
127,11764243.712531097,0.005397544590626528,869423.8259451389,3877988.004925618,0.11209728148215546,11715513.688858964,ok
128,11714631.35972037,0.025784060468401176,238611.93473080377,100219.29126634203,1.0000000000000027,11576238.716255909,ok
129,11562105.961154925,0.010612888915298137,674024.1036848009,3377229.760495945,0.09978949486484164,11528475.698738208,ok
130,11527546.521703698,0.018025248226216355,342854.90591040964,886895.3730795112,0.19328937567908153,11494411.41634773,ok
131,11488417.595918205,0.018958849737000422,329593.0860203903,1509858.143316471,0.10914703724961351,11470430.541499663,ok
132,11469087.633222658,0.01937536831689508,294618.081617728,1284330.5945068942,0.11469713595464244,11452191.708141655,ok
133,11459842.700500038,0.015194654040238821,363893.320721325,1945768.1410968453,0.09350891122006844,11442829.066389583,ok
134,11444415.891581252,0.02353633545217679,214062.08865425034,23630.612800633375,1.0000000000000135,11253984.415727632,ok
135,11254314.479426902,0.016378876264606886,403795.2744915315,2949342.218190483,0.06845514094652484,11240493.548212472,ok
136,11239900.81816306,0.02311072141248062,255904.82742421006,769755.819024259,0.16622467872252952,11218631.969301993,ok
137,11219451.28932432,0.01280672258545493,481835.0979814773,3853255.7715507876,0.06252311377030094,11204388.373999512,ok
138,11205634.512846291,0.024302476495972385,201690.2098972461,23207.545986379886,1.0000000000003713,11027151.848935368,ok
139,11022563.81305996,0.015256385716455932,403576.7045392026,3006673.697129925,0.0671134857308334,11009021.093359265,ok
140,11008697.890754709,0.027474118398411816,193694.4224866667,34170.79642739004,1.0000000000041054,10849174.264694918,ok
141,10852268.69379841,0.015626952521149845,449715.5185086987,2723799.7450495646,0.0825529702258848,10833706.017893627,ok
142,10832954.180025574,0.023261827723557067,251944.7354807381,352368.9073395713,0.3575013717625541,10787918.885754215,ok
143,10794830.849789217,0.011856241760882956,499272.54274869733,2645347.699371718,0.0943680376812615,10771273.164725553,ok
144,10768336.190364555,0.027171329156609417,185379.56560054558,54298.67339367824,1.000000000076087,10637255.298151845,ok
