round,old_loss,beta,direction_gain,interaction,step,expected_loss,status,max_gain_sum,temp
698,450674.0,0.16248855898077458,32189.5,597661.123265821,0.02692955819520748,450240.57549323764,ok,64379.0,-0.026655541321907172
699,450234.0,0.21300430194515393,23747.0,335382.46985004365,0.03540286409515943,449813.64409316616,ok,47494.0,-0.026690890304708503
700,449699.0,0.20233672609430933,20764.0,215332.3158028998,0.04821385011947282,449198.4438080597,ok,41528.0,-0.026693429135941305
701,448994.0,0.09993380277781184,32951.50000000001,980021.3192956824,0.01681162406940364,448717.01588473853,ok,65903.0,-0.026822816000407812
702,448792.0,0.1901561937196873,15538.000000000002,5052.778684791254,1.0,438306.77868479124,ok,31076.0,-0.02686058979508088
703,438139.0,0.0444634195257884,184729.5,4459402.054220009,0.020712362078362873,436225.9078547225,ok,369459.0,-0.027458879418934323
704,436578.0,0.12686478272702517,62388.000000000015,1698985.5373318766,0.018360368181231098,436005.2666749547,ok,124776.0,-0.027556266323785827
705,435836.0,0.20587169816298317,27396.000000011176,127154.54105996,0.10772717895734661,434360.3531026417,ok,54792.0,-0.027599234996762867
706,433942.0,0.17662783777923152,29770.0,231773.479848841,0.06422218801610849,432986.0527313802,ok,59540.0,-0.027753825841541513
707,432758.0,0.1705815423626569,23723.500000008695,166015.8543588344,0.0714495012889902,431910.48387808504,ok,47447.0,-0.027729768708348868
708,431651.0,0.18654780338827,20974.00000000001,138932.2326789938,0.07548284366976572,430859.41141843516,ok,41948.0,-0.027893744132928777
709,431204.0,0.11902662236529217,27954.5,337131.5837225132,0.041459331236981985,430624.5125624679,ok,55909.0,-0.028017493831598017
710,430349.0,0.18598491343093623,21893.500000006978,155870.63225724548,0.07022971448487624,429580.21287296247,ok,43787.0,-0.028221839294937823
711,429232.0,0.1711555360611467,22724.5,225727.9766993494,0.05033602908306557,428660.06945355097,ok,45449.0,-0.02826566927745544
712,428967.0,0.2129203398170304,17200.0,86072.85505488481,0.099915356525773,428107.7279338783,ok,34400.0,-0.028374042729356397
713,428277.0,0.1637173791062005,26870.500000008396,342704.8244384436,0.039203562488562015,427750.2903370754,ok,53741.0,-0.028300161014647607
714,427621.0,0.22360342140530276,18093.0,64894.70032101737,0.1394027548513098,426359.8929782376,ok,36186.0,-0.028181718178704074
715,426326.0,0.10250050539562362,32107.5,326798.5194561874,0.04912430456146012,425537.3706956465,ok,64215.0,-0.02818622659811698
716,425875.0,0.22130239351274533,18026.5,35915.587270463206,0.250956497860539,423613.0663456585,ok,36053.0,-0.02814488505898538
717,423738.0,0.1296812933246314,52973.5,801591.8601222613,0.03304268832764863,422862.80657493765,ok,105947.0,-0.027952465814037986
718,422855.0,0.2075506364846984,24164.500000009917,225758.81859477743,0.05351839664651958,422208.3773521173,ok,48329.0,-0.027917572885898245
719,421963.0,0.16256553024012213,29885.000000009157,438494.5074410535,0.03407682364644735,421453.80706266285,ok,59770.0,-0.02789544432638369
720,421633.0,0.22883152040480445,20728.50000000698,175924.5551687751,0.05891303797847001,421022.41054613143,ok,41457.0,-0.027888373221259144
721,420901.0,0.11458380029999009,21179.5,231014.60010102903,0.045840176315128184,420415.56399286684,ok,42359.0,-0.027927063250210438
722,420060.0,0.17866517681037933,23855.500000008116,598300.8666081835,0.01993603998540642,419822.207899064,ok,47711.0,-0.028038407247839903
723,419788.0,0.1970789572967571,16576.0,68480.2344902647,0.12102762295853763,418784.9230609197,ok,33152.0,-0.027931537374347393
724,419372.0,0.042007976607866426,155023.5,5689613.055013992,0.013623378119131052,418316.0281210745,ok,310047.0,-0.02777287425479802
725,418589.0,0.07237999436323195,72058.0,3571756.769449908,0.010087193032897615,418225.56852221774,ok,144116.0,-0.02788315283442344
726,418085.0,0.23072047512595603,14696.0,10940.723828556644,0.6716191830764259,413149.9422427544,ok,29392.0,-0.027762657905362254
727,412553.0,0.055846455732975704,152788.5,5981851.831267361,0.012771003387393254,411577.3687744726,ok,305577.0,-0.02765726603295171
728,411993.0,0.07543328625502213,108359.00000005504,2334461.0993361073,0.023208568356712183,410735.5713707169,ok,216718.0,-0.027700506343054876
729,410916.0,0.14515930774099867,46959.50000002188,543847.1074022212,0.04317343915308474,409902.2984420449,ok,93919.0,-0.027784701500981335
730,409767.0,0.1771191329196577,32928.00000001333,263722.70505927026,0.062429209484661054,408739.1654950441,ok,65856.0,-0.02778037241423803
731,408311.0,0.17350858163465316,32967.0,985616.3151655562,0.01672405351491288,408035.3290638869,ok,65934.0,-0.027658831688394336
732,407920.0,0.24789398553118183,18937.0,75874.32713696903,0.124791880960043,406738.40807512985,ok,37874.0,-0.027642728033688613
733,406656.0,0.1574125522748365,31990.500000010197,405741.6360418808,0.03942225440810827,406025.4311851785,ok,63981.0,-0.02765855232192127
734,405737.0,0.10464001658083437,60059.0,3323036.2734157443,0.00903676563516194,405465.6304463589,ok,120118.0,-0.027819711852151485
735,405234.0,0.2157468303004165,27465.0,528861.925422232,0.025966134712829377,404877.4200550561,ok,54930.0,-0.02782992229419623
736,405299.0,0.09100976308147395,48107.50000002182,1975084.5135081778,0.012178592781979867,405006.0591738703,ok,96215.0,-0.027852353652746853
737,404889.0,0.21735752959940824,18152.500000000055,51700.585430100444,0.17555410493893114,403295.627055048,ok,36305.0,-0.027849861652573082
738,403653.0,0.04401334927840403,137707.00000000006,4636072.526683133,0.014851687415093373,402630.40934056486,ok,275414.0,-0.027895462775998858
739,402653.0,0.1295528970826654,33604.0,632460.577076539,0.026566082707739518,402206.63667834457,ok,67208.0,-0.02788479223637852
740,402126.0,0.1855232590728264,20368.000000000007,316624.62951231946,0.03216426977170377,401798.439076645,ok,40736.0,-0.02774824452741731
741,401619.0,0.10841678870584072,33719.0,1112883.2280148317,0.015149388161841639,401363.58889028546,ok,67438.0,-0.027828798994434134
742,401157.0,0.23863769173634594,15067.5,19709.743607391985,0.38223480477820754,398277.3385395022,ok,30135.0,-0.027880937487151147
743,398862.0,0.05446283468862044,62470.0,605285.3936973241,0.0516037563854039,397250.1566693019,ok,124940.0,-0.027699369868968038
744,397503.0,0.15982168853750728,29371.50000001245,312609.8379843786,0.04697788813908052,396813.0944792612,ok,58743.0,-0.027945071333986604
745,396600.0,0.1607042144124281,24858.0,274071.74905133486,0.04534943876200824,396036.35182562703,ok,49716.0,-0.027857019958367424
746,396152.0,0.11498467031126337,42618.000000000015,2194959.7950113467,0.009708150485685707,395945.1290213005,ok,85236.0,-0.027954431497157373
747,396135.0,0.177376674763346,22337.00000000756,290670.21248276706,0.03842326981016648,395705.869711125,ok,44674.0,-0.027954486868170925
